*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb2636pp0420
*Date=18:12:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;61.9679;-44.7104;-90;Bottom;TXT3
2;;;61.9628;-77.6394;-90;Bottom;TXT3
3;;;18.6829;-85.2975;-90;Bottom;TXT3
4;;;16.1062;-9.03889;-90;Bottom;TXT3
5;;;96.5504;-14.2726;-90;Bottom;TXT2
6;;;33.9232;-77.5823;-90;Bottom;TXT3
7;;THT;50.2934;-72.6227;90;Bottom;J34
8;;;83.2636;-61.451;0;Bottom;TXT4
9;;;3.4511;-4.06892;0;Bottom;TXT1
10;;THT;50.2968;-14.2044;90;Bottom;J14
11;;;55.9505;-90.4625;-90;Bottom;TXT2
12;;;94.8784;-37.1739;-90;Bottom;TXT3
13;;;4.02176;-72.6368;90;Bottom;TXT2
14;;;8.27513;-85.2705;-90;Bottom;TXT3
15;;THT;50.3092;-29.463;90;Bottom;J22
16;;;87.2463;-44.819;-90;Bottom;TXT3
17;;;92.3573;-85.4507;-90;Bottom;TXT3
18;;;41.3948;-85.3276;-90;Bottom;TXT3
19;;;46.5865;-44.6793;-90;Bottom;TXT3
20;;;94.798;-44.7939;-90;Bottom;TXT3
21;;;26.3362;-85.3183;-90;Bottom;TXT3
22;;;36.3148;-85.3276;-90;Bottom;TXT3
23;;;26.457;-37.0582;-90;Bottom;TXT3
24;;;82.1259;-85.459;-90;Bottom;TXT3
25;;THT;50.2858;-67.5373;90;Bottom;J33
26;;;94.7576;-9.19383;-90;Bottom;TXT3
27;;;18.7233;-44.6573;-90;Bottom;TXT3
28;;;55.9505;-95.5021;-90;Bottom;TXT2
29;;;16.1062;-85.2789;-90;Bottom;TXT3
30;;;43.9158;-37.0509;-90;Bottom;TXT3
31;;;10.9548;-9.04708;-90;Bottom;TXT3
32;;;69.1448;-9.17126;-90;Bottom;TXT3
33;;;31.4876;-9.06994;-90;Bottom;TXT3
