*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb3612
*Date=18:27:44
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;THT;50.2934;-36.4516;90;Bottom;J34
2;;;96.5301;-16.1005;-90;Bottom;TXT2
3;;;87.2463;-8.64792;-90;Bottom;TXT3
4;;;87.2412;-41.577;-90;Bottom;TXT3
5;;;4.0418;-18.7662;90;Bottom;TXT2
6;;;71.8598;-41.5459;-90;Bottom;TXT3
7;;;96.9081;-44.1086;0;Bottom;TXT1
8;;;84.5666;-8.63127;-90;Bottom;TXT3
9;;;61.9628;-41.4683;-90;Bottom;TXT3
10;;;54.1368;-8.53079;-90;Bottom;TXT3
11;;;96.5402;-31.3331;-90;Bottom;TXT2
12;;;2.19503;-2.42985;0;Bottom;Hole3
13;;;97.161;-5.94898;0;Bottom;TXT1
14;;THT;50.2993;-38.991;90;Bottom;J32
15;;THT;50.2991;-46.6176;90;Bottom;J35
16;;;69.1852;-8.60022;-90;Bottom;TXT3
17;;;5.9101;-41.4052;-90;Bottom;TXT3
18;;;96.5603;-38.9329;-90;Bottom;TXT2
19;;;59.2117;-41.4599;-90;Bottom;TXT3
20;;;36.35;-41.4455;-90;Bottom;TXT3
21;;;4.00173;-28.8658;90;Bottom;TXT2
22;;;26.3715;-41.4363;-90;Bottom;TXT3
23;;;74.2652;-8.60022;-90;Bottom;TXT3
24;;;77.0163;-8.60841;-90;Bottom;TXT3
25;;;59.2168;-8.53079;-90;Bottom;TXT3
26;;;41.4351;-8.5164;-90;Bottom;TXT3
27;;;64.3682;-8.52261;-90;Bottom;TXT3
28;;;56.8114;-41.4766;-90;Bottom;TXT3
29;;;43.8303;-41.4288;-90;Bottom;TXT3
30;;THT;50.292;-11.055;90;Bottom;J26
31;;;26.3766;-8.50709;-90;Bottom;TXT3
32;;;82.1612;-41.577;-90;Bottom;TXT3
33;;;41.43;-41.4455;-90;Bottom;TXT3
34;;;96.5603;-33.873;-90;Bottom;TXT2
35;;;96.51;-13.5607;-90;Bottom;TXT2
36;;THT;50.2779;-13.595;90;Bottom;J23
37;;;3.42796;-45.7423;0;Bottom;TXT1
38;;;33.9232;-41.4112;-90;Bottom;TXT3
39;;;97.8376;-2.41376;0;Bottom;Hole2
40;;;51.7314;-41.4766;-90;Bottom;TXT3
41;;;77.0112;-41.5375;-90;Bottom;TXT3
42;;;64.3631;-41.4516;-90;Bottom;TXT3
43;;;8.31548;-8.45939;-90;Bottom;TXT3
